Fecha,Sesiones,Dispositivos activos
1/01/17,1331.0,90.0
1/02/17,2219.0,141.0
1/03/17,4865.0,206.0
1/04/17,5942.0,264.0
1/05/17,6372.0,372.0
1/06/17,9452.0,596.0
1/07/17,16243.0,792.0
1/08/17,20671.0,923.0
1/09/17,21575.0,1086.0
1/10/17,31211.0,1575.0
1/11/17,22319.0,1355.0
1/12/17,28034.0,1292.0
1/01/18,31538.0,1426.0
1/02/18,30585.0,1497.0
1/03/18,34241.0,1632.0
1/04/18,38056.0,1688.0
1/05/18,44486.0,1770.0
1/06/18,42897.0,1686.0
1/07/18,44242.0,1723.0
1/08/18,50618.0,1946.0
1/09/18,48353.0,1895.0
1/10/18,49495.0,1917.0
1/11/18,47797.0,1872.0
1/12/18,48827.0,1837.0
1/01/19,54682.0,2009.0
1/02/19,29069.0,1673.0
